ProjID,Retail Store Number,Selling Location Type,Temperature,Movement period,Division,Store State,Account Format,Width,Traffic flow,Number of Segments,Number of Fixtures,Chain POG Field 7,Chain POG Field 8,Chain POG Field 9,Chain POG Field 10,StoreID,Planogram Number,Chain POG Field 1,Chain POG Field 2,Chain POG Field 3,# of Cooler Doors,Number of Stores,Chain POG Field 5,Chain POG Field 6,PlanoID,Wholesaler
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1584 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1584 (SAV),Publix #1584 (SAV)|1|1584-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1584 (SAV)|1|1584-CRAFT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1584 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1584 (SAV),Publix #1584 (SAV)|3|1584-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1584 (SAV)|3|1584-IMPORT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1733 (VID),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1733 (VID),Publix #1733 (VID)|3|1733-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1733 (VID)|3|1733-IMPORT BEER,21052-VID
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0035 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0035 (GVL),Publix #0035 (GVL)|2|35-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0035 (GVL)|2|35-FLAVORED ADULT BEVERAGES,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0035 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0035 (GVL),Publix #0035 (GVL)|3|35-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0035 (GVL)|3|35-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0205 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0205 (GVL),Publix #0205 (GVL)|2|205-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0205 (GVL)|2|205-FLAVORED ADULT BEVERAGES,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0360 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0360 (GVL),Publix #0360 (GVL)|1|360-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0360 (GVL)|1|360-CRAFT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0530 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0530 (GVL),Publix #0530 (GVL)|3|530-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0530 (GVL)|3|530-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0563 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0563 (GVL),Publix #0563 (GVL)|3|563-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0563 (GVL)|3|563-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0602 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0602 (GVL),Publix #0602 (GVL)|3|602-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0602 (GVL)|3|602-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1012 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1012 (GVL),Publix #1012 (GVL)|1|1012-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1012 (GVL)|1|1012-CRAFT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1671 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1671 (GVL),Publix #1671 (GVL)|3|1671-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1671 (GVL)|3|1671-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1717 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1717 (GVL),Publix #1717 (GVL)|3|1717-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1717 (GVL)|3|1717-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1767 (GVL),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1767 (GVL),Publix #1767 (GVL)|2|1767-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1767 (GVL)|2|1767-FLAVORED ADULT BEVERAGES,53929-GVL
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0449 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0449 (CHS),Publix #0449 (CHS)|3|449-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0449 (CHS)|3|449-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0473 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0473 (CHS),Publix #0473 (CHS)|3|473-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0473 (CHS)|3|473-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0700 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0700 (CHS),Publix #0700 (CHS)|2|700-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0700 (CHS)|2|700-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0824 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0824 (CHS),Publix #0824 (CHS)|1|824-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0824 (CHS)|1|824-CRAFT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0824 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0824 (CHS),Publix #0824 (CHS)|2|824-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0824 (CHS)|2|824-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0845 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0845 (CHS),Publix #0845 (CHS)|1|845-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0845 (CHS)|1|845-CRAFT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0845 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0845 (CHS),Publix #0845 (CHS)|3|845-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0845 (CHS)|3|845-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1055 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1055 (CHS),Publix #1055 (CHS)|2|1055-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1055 (CHS)|2|1055-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1055 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1055 (CHS),Publix #1055 (CHS)|3|1055-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1055 (CHS)|3|1055-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1145 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1145 (CHS),Publix #1145 (CHS)|2|1145-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1145 (CHS)|2|1145-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1205 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1205 (CHS),Publix #1205 (CHS)|3|1205-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1205 (CHS)|3|1205-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1266 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1266 (CHS),Publix #1266 (CHS)|1|1266-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1266 (CHS)|1|1266-CRAFT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1354 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1354 (CHS),Publix #1354 (CHS)|2|1354-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1354 (CHS)|2|1354-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1463 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1463 (CHS),Publix #1463 (CHS)|1|1463-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1463 (CHS)|1|1463-CRAFT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1463 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1463 (CHS),Publix #1463 (CHS)|3|1463-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1463 (CHS)|3|1463-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1599 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1599 (CHS),Publix #1599 (CHS)|2|1599-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1599 (CHS)|2|1599-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1645 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1645 (CHS),Publix #1645 (CHS)|2|1645-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1645 (CHS)|2|1645-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1645 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1645 (CHS),Publix #1645 (CHS)|3|1645-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1645 (CHS)|3|1645-IMPORT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1646 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1646 (CHS),Publix #1646 (CHS)|2|1646-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1646 (CHS)|2|1646-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1714 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1714 (CHS),Publix #1714 (CHS)|1|1714-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1714 (CHS)|1|1714-CRAFT BEER,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1716 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1716 (CHS),Publix #1716 (CHS)|2|1716-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1716 (CHS)|2|1716-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1775 (CHS),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1775 (CHS),Publix #1775 (CHS)|2|1775-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1775 (CHS)|2|1775-FLAVORED ADULT BEVERAGES,23912-CHS
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #17 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #17 (COLA),Publix Super Market #17 (COLA)|3|17-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #17 (COLA)|3|17-IMPORT BEER,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #0067 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0067 (COLA),Publix Super Market #0067 (COLA)|1|67-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0067 (COLA)|1|67-CRAFT BEER,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #512 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #512 (COLA),Publix Super Market #512 (COLA)|2|512-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #512 (COLA)|2|512-FLAVORED ADULT BEVERAGES,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #0587 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0587 (COLA),Publix Super Market #0587 (COLA)|1|587-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0587 (COLA)|1|587-CRAFT BEER,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #0587 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0587 (COLA),Publix Super Market #0587 (COLA)|3|587-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0587 (COLA)|3|587-IMPORT BEER,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #0597 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0597 (COLA),Publix Super Market #0597 (COLA)|3|597-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0597 (COLA)|3|597-IMPORT BEER,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #0883 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0883 (COLA),Publix Super Market #0883 (COLA)|2|883-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #0883 (COLA)|2|883-FLAVORED ADULT BEVERAGES,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1095 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1095 (COLA),Publix #1095 (COLA)|1|1095-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1095 (COLA)|1|1095-CRAFT BEER,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix Super Market #2001 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #2001 (COLA),Publix Super Market #2001 (COLA)|2|2001-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix Super Market #2001 (COLA)|2|2001-FLAVORED ADULT BEVERAGES,33916-COLA
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1383 (COLA),OPEN AIR,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1383 (COLA),Publix #1383 (COLA)|1|1383-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1383 (COLA)|1|1383-FLAVORED ADULT BEVERAGES,33916-COLA
Shelf IQ PowerBI 2026 - Chain.csv,Publix #0035 (GVL),DOORS,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0035 (GVL),Publix #0035 (GVL)|2|35-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0035 (GVL)|2|35-FLAVORED ADULT BEVERAGES,53929-GVL
Shelf IQ PowerBI 2026 - Chain.csv,Publix #0035 (GVL),DOORS,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0035 (GVL),Publix #0035 (GVL)|3|35-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0035 (GVL)|3|35-IMPORT BEER,53929-GVL
Shelf IQ PowerBI 2026 - Chain.csv,Publix #0205 (GVL),DOORS,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0205 (GVL),Publix #0205 (GVL)|2|205-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0205 (GVL)|2|205-FLAVORED ADULT BEVERAGES,53929-GVL
Shelf IQ PowerBI 2026 - Chain.csv,Publix #0360 (GVL),DOORS,COLD,7,Publix,SC,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0360 (GVL),Publix #0360 (GVL)|2|360-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0360 (GVL)|2|360-FLAVORED ADULT BEVERAGES,53929-GVL
Shelf IQ PowerBI 2026 - Chain.csv,Publix #0360 (GVL),DOORS,COLD,7,Publix,SC,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0360 (GVL),Publix #0360 (GVL)|3|360-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2026 - Chain.csv|Publix #0360 (GVL)|3|360-IMPORT BEER,53929-GVL
